epoch (ms);time (01:00);elapsed (s);pitch (deg);roll (deg);yaw (deg); heading (deg)
1.6828E+12;2023-04-29T23:36:55.881;0;150.96;-59.491;0;0
1.6828E+12;2023-04-29T23:36:55.891;0.01;150.595;-59.424;0.428;0.428
1.6828E+12;2023-04-29T23:36:55.901;0.02;150.245;-59.352;0.859;0.859
1.6828E+12;2023-04-29T23:36:55.911;0.03;149.887;-59.279;1.318;1.318
1.6828E+12;2023-04-29T23:36:55.921;0.04;149.523;-59.207;1.801;1.801
1.6828E+12;2023-04-29T23:36:55.931;0.05;149.156;-59.137;2.304;2.304
1.6828E+12;2023-04-29T23:36:55.941;0.06;148.79;-59.075;2.812;2.812
1.6828E+12;2023-04-29T23:36:55.951;0.07;148.411;-59.012;3.364;3.364
1.6828E+12;2023-04-29T23:36:55.961;0.08;148.031;-58.935;3.964;3.964
1.6828E+12;2023-04-29T23:36:55.971;0.09;147.654;-58.854;4.586;4.586
1.6828E+12;2023-04-29T23:36:55.981;0.1;147.273;-58.774;5.226;5.226
1.6828E+12;2023-04-29T23:36:55.991;0.11;146.891;-58.701;5.871;5.871
1.6828E+12;2023-04-29T23:36:56.001;0.12;146.496;-58.63;6.551;6.551
1.6828E+12;2023-04-29T23:36:56.011;0.13;146.093;-58.561;7.256;7.256
1.6828E+12;2023-04-29T23:36:56.021;0.14;145.689;-58.496;7.966;7.966
1.6828E+12;2023-04-29T23:36:56.031;0.15;145.29;-58.437;8.678;8.678
1.6828E+12;2023-04-29T23:36:56.041;0.16;144.829;-58.396;9.404;9.404
1.6828E+12;2023-04-29T23:36:56.051;0.17;144.358;-58.366;10.109;10.109
1.6828E+12;2023-04-29T23:36:56.061;0.18;143.894;-58.354;10.751;10.751
1.6828E+12;2023-04-29T23:36:56.071;0.19;143.433;-58.361;11.332;11.332
1.6828E+12;2023-04-29T23:36:56.081;0.2;142.976;-58.384;11.856;11.856
1.6828E+12;2023-04-29T23:36:56.091;0.21;142.535;-58.421;12.313;12.313
1.6828E+12;2023-04-29T23:36:56.101;0.22;142.103;-58.467;12.732;12.732
1.6828E+12;2023-04-29T23:36:56.111;0.23;141.684;-58.527;13.105;13.105
1.6828E+12;2023-04-29T23:36:56.121;0.24;141.281;-58.621;13.402;13.402
1.6828E+12;2023-04-29T23:36:56.131;0.25;140.902;-58.766;13.619;13.619
1.6828E+12;2023-04-29T23:36:56.141;0.26;140.586;-58.956;13.757;13.757
1.6828E+12;2023-04-29T23:36:56.151;0.27;140.343;-59.177;13.841;13.841
1.6828E+12;2023-04-29T23:36:56.161;0.28;140.123;-59.426;13.909;13.909
1.6828E+12;2023-04-29T23:36:56.171;0.29;139.891;-59.679;14.014;14.014
1.6828E+12;2023-04-29T23:36:56.181;0.3;139.63;-59.933;14.169;14.169
1.6828E+12;2023-04-29T23:36:56.191;0.31;139.328;-60.183;14.356;14.356
1.6828E+12;2023-04-29T23:36:56.201;0.32;138.989;-60.421;14.554;14.554
1.6828E+12;2023-04-29T23:36:56.211;0.33;138.673;-60.617;14.727;14.727
1.6828E+12;2023-04-29T23:36:56.221;0.34;138.408;-60.769;14.847;14.847
1.6828E+12;2023-04-29T23:36:56.231;0.35;138.237;-60.846;14.927;14.927
1.6828E+12;2023-04-29T23:36:56.241;0.36;138.158;-60.846;14.976;14.976
1.6828E+12;2023-04-29T23:36:56.251;0.37;138.112;-60.815;14.981;14.981
1.6828E+12;2023-04-29T23:36:56.261;0.38;138.072;-60.804;14.934;14.934
1.6828E+12;2023-04-29T23:36:56.271;0.39;138.088;-60.82;14.845;14.845
1.6828E+12;2023-04-29T23:36:56.281;0.4;138.192;-60.848;14.739;14.739
1.6828E+12;2023-04-29T23:36:56.291;0.41;138.355;-60.886;14.636;14.636
1.6828E+12;2023-04-29T23:36:56.301;0.42;138.547;-60.93;14.546;14.546
1.6828E+12;2023-04-29T23:36:56.311;0.43;138.77;-60.964;14.46;14.46
1.6828E+12;2023-04-29T23:36:56.321;0.44;139.005;-60.995;14.352;14.352
1.6828E+12;2023-04-29T23:36:56.331;0.45;139.2;-61.048;14.221;14.221
1.6828E+12;2023-04-29T23:36:56.341;0.46;139.346;-61.131;14.078;14.078
1.6828E+12;2023-04-29T23:36:56.351;0.47;139.463;-61.226;13.952;13.952
1.6828E+12;2023-04-29T23:36:56.361;0.48;139.56;-61.321;13.844;13.844
1.6828E+12;2023-04-29T23:36:56.371;0.49;139.615;-61.431;13.743;13.743
1.6828E+12;2023-04-29T23:36:56.381;0.5;139.638;-61.541;13.694;13.694
1.6828E+12;2023-04-29T23:36:56.391;0.51;139.667;-61.629;13.725;13.725
1.6828E+12;2023-04-29T23:36:56.401;0.52;139.697;-61.704;13.817;13.817
1.6828E+12;2023-04-29T23:36:56.411;0.53;139.735;-61.769;13.96;13.96
1.6828E+12;2023-04-29T23:36:56.421;0.54;139.79;-61.817;14.158;14.158
1.6828E+12;2023-04-29T23:36:56.431;0.55;139.863;-61.843;14.379;14.379
1.6828E+12;2023-04-29T23:36:56.441;0.56;139.955;-61.85;14.567;14.567
1.6828E+12;2023-04-29T23:36:56.451;0.57;140.085;-61.829;14.737;14.737
1.6828E+12;2023-04-29T23:36:56.461;0.58;140.244;-61.784;14.908;14.908
1.6828E+12;2023-04-29T23:36:56.471;0.59;140.381;-61.753;15.041;15.041
1.6828E+12;2023-04-29T23:36:56.481;0.6;140.511;-61.774;15.042;15.042
1.6828E+12;2023-04-29T23:36:56.491;0.61;140.793;-61.793;14.937;14.937
1.6828E+12;2023-04-29T23:36:56.501;0.62;141.31;-61.752;14.844;14.844
1.6828E+12;2023-04-29T23:36:56.511;0.63;141.888;-61.673;14.769;14.769
1.6828E+12;2023-04-29T23:36:56.521;0.64;142.482;-61.566;14.609;14.609
1.6828E+12;2023-04-29T23:36:56.531;0.65;143.066;-61.495;14.312;14.312
1.6828E+12;2023-04-29T23:36:56.541;0.66;143.639;-61.482;13.9;13.9
1.6828E+12;2023-04-29T23:36:56.551;0.67;144.217;-61.485;13.434;13.434
1.6828E+12;2023-04-29T23:36:56.561;0.68;144.74;-61.495;12.97;12.97
1.6828E+12;2023-04-29T23:36:56.571;0.69;145.195;-61.512;12.513;12.513
1.6828E+12;2023-04-29T23:36:56.581;0.7;145.579;-61.526;12.093;12.093
1.6828E+12;2023-04-29T23:36:56.591;0.71;145.909;-61.535;11.707;11.707
1.6828E+12;2023-04-29T23:36:56.601;0.72;146.212;-61.546;11.333;11.333
1.6828E+12;2023-04-29T23:36:56.611;0.73;146.509;-61.552;10.978;10.978
1.6828E+12;2023-04-29T23:36:56.621;0.74;146.821;-61.553;10.622;10.622
1.6828E+12;2023-04-29T23:36:56.631;0.75;147.154;-61.543;10.256;10.256
1.6828E+12;2023-04-29T23:36:56.641;0.76;147.507;-61.522;9.883;9.883
1.6828E+12;2023-04-29T23:36:56.651;0.77;147.89;-61.492;9.487;9.487
1.6828E+12;2023-04-29T23:36:56.661;0.78;148.271;-61.472;9.075;9.075
1.6828E+12;2023-04-29T23:36:56.671;0.79;148.632;-61.461;8.66;8.66
1.6828E+12;2023-04-29T23:36:56.681;0.8;148.961;-61.452;8.286;8.286
1.6828E+12;2023-04-29T23:36:56.691;0.81;149.252;-61.442;7.959;7.959
1.6828E+12;2023-04-29T23:36:56.701;0.82;149.525;-61.423;7.679;7.679
1.6828E+12;2023-04-29T23:36:56.711;0.83;149.775;-61.402;7.449;7.449
1.6828E+12;2023-04-29T23:36:56.721;0.84;149.995;-61.382;7.25;7.25
1.6828E+12;2023-04-29T23:36:56.731;0.85;150.209;-61.361;7.053;7.053
1.6828E+12;2023-04-29T23:36:56.741;0.86;150.42;-61.341;6.842;6.842
1.6828E+12;2023-04-29T23:36:56.751;0.87;150.634;-61.32;6.603;6.603
1.6828E+12;2023-04-29T23:36:56.761;0.88;150.861;-61.289;6.337;6.337
1.6828E+12;2023-04-29T23:36:56.771;0.89;151.097;-61.252;6.038;6.038
1.6828E+12;2023-04-29T23:36:56.781;0.9;151.335;-61.218;5.7;5.7
1.6828E+12;2023-04-29T23:36:56.791;0.91;151.57;-61.189;5.341;5.341
1.6828E+12;2023-04-29T23:36:56.801;0.92;151.901;-61.261;4.816;4.816
1.6828E+12;2023-04-29T23:36:56.811;0.93;152.148;-61.234;4.417;4.417
1.6828E+12;2023-04-29T23:36:56.821;0.94;152.392;-61.212;4.036;4.036
1.6828E+12;2023-04-29T23:36:56.831;0.95;152.633;-61.185;3.699;3.699
1.6828E+12;2023-04-29T23:36:56.841;0.96;152.861;-61.147;3.421;3.421
1.6828E+12;2023-04-29T23:36:56.851;0.97;153.074;-61.105;3.193;3.193
1.6828E+12;2023-04-29T23:36:56.861;0.98;153.247;-61.144;2.97;2.97
1.6828E+12;2023-04-29T23:36:56.871;0.99;153.386;-61.172;2.828;2.828
1.6828E+12;2023-04-29T23:36:56.881;1;153.494;-61.182;2.764;2.764
1.6828E+12;2023-04-29T23:36:56.891;1.01;153.56;-61.142;2.803;2.803
1.6828E+12;2023-04-29T23:36:56.901;1.02;153.596;-61.105;2.887;2.887
1.6828E+12;2023-04-29T23:36:56.911;1.03;153.604;-61.073;2.995;2.995
1.6828E+12;2023-04-29T23:36:56.921;1.04;153.589;-61.045;3.111;3.111
1.6828E+12;2023-04-29T23:36:56.931;1.05;153.563;-61.018;3.219;3.219
1.6828E+12;2023-04-29T23:36:56.941;1.06;153.527;-60.995;3.316;3.316
1.6828E+12;2023-04-29T23:36:56.951;1.07;153.478;-60.978;3.402;3.402
1.6828E+12;2023-04-29T23:36:56.961;1.08;153.411;-60.97;3.476;3.476
1.6828E+12;2023-04-29T23:36:56.971;1.09;153.333;-60.958;3.557;3.557
1.6828E+12;2023-04-29T23:36:56.981;1.1;153.248;-60.943;3.64;3.64
1.6828E+12;2023-04-29T23:36:56.991;1.11;153.15;-60.937;3.718;3.718
1.6828E+12;2023-04-29T23:36:57.001;1.12;153.045;-60.933;3.798;3.798
1.6828E+12;2023-04-29T23:36:57.011;1.13;152.949;-60.925;3.883;3.883
1.6828E+12;2023-04-29T23:36:57.021;1.14;152.865;-60.912;3.971;3.971
1.6828E+12;2023-04-29T23:36:57.031;1.15;152.795;-60.887;4.072;4.072
1.6828E+12;2023-04-29T23:36:57.041;1.16;152.732;-60.853;4.188;4.188
1.6828E+12;2023-04-29T23:36:57.051;1.17;152.666;-60.815;4.321;4.321
1.6828E+12;2023-04-29T23:36:57.061;1.18;152.594;-60.774;4.488;4.488
1.6828E+12;2023-04-29T23:36:57.071;1.19;152.518;-60.731;4.687;4.687
1.6828E+12;2023-04-29T23:36:57.081;1.2;152.421;-60.685;4.922;4.922
1.6828E+12;2023-04-29T23:36:57.091;1.21;152.315;-60.643;5.181;5.181
1.6828E+12;2023-04-29T23:36:57.101;1.22;152.205;-60.597;5.468;5.468
1.6828E+12;2023-04-29T23:36:57.111;1.23;152.079;-60.561;5.767;5.767
1.6828E+12;2023-04-29T23:36:57.121;1.24;151.95;-60.539;6.046;6.046
1.6828E+12;2023-04-29T23:36:57.131;1.25;151.836;-60.527;6.302;6.302
1.6828E+12;2023-04-29T23:36:57.141;1.26;151.74;-60.528;6.52;6.52
1.6828E+12;2023-04-29T23:36:57.151;1.27;151.663;-60.539;6.701;6.701
1.6828E+12;2023-04-29T23:36:57.161;1.28;151.601;-60.546;6.868;6.868
1.6828E+12;2023-04-29T23:36:57.171;1.29;151.544;-60.557;7.002;7.002
1.6828E+12;2023-04-29T23:36:57.181;1.3;151.488;-60.581;7.096;7.096
1.6828E+12;2023-04-29T23:36:57.191;1.31;151.422;-60.603;7.184;7.184
1.6828E+12;2023-04-29T23:36:57.201;1.32;151.354;-60.621;7.268;7.268
1.6828E+12;2023-04-29T23:36:57.211;1.33;151.282;-60.633;7.356;7.356
1.6828E+12;2023-04-29T23:36:57.221;1.34;151.215;-60.639;7.44;7.44
1.6828E+12;2023-04-29T23:36:57.231;1.35;151.151;-60.644;7.512;7.512
1.6828E+12;2023-04-29T23:36:57.241;1.36;151.098;-60.649;7.565;7.565
1.6828E+12;2023-04-29T23:36:57.251;1.37;151.049;-60.66;7.593;7.593
1.6828E+12;2023-04-29T23:36:57.261;1.38;151.008;-60.667;7.603;7.603
1.6828E+12;2023-04-29T23:36:57.271;1.39;150.971;-60.671;7.604;7.604
1.6828E+12;2023-04-29T23:36:57.281;1.4;150.935;-60.676;7.601;7.601
1.6828E+12;2023-04-29T23:36:57.291;1.41;150.91;-60.673;7.6;7.6
1.6828E+12;2023-04-29T23:36:57.301;1.42;150.888;-60.665;7.605;7.605
1.6828E+12;2023-04-29T23:36:57.311;1.43;150.864;-60.661;7.607;7.607
1.6828E+12;2023-04-29T23:36:57.321;1.44;150.829;-60.667;7.611;7.611
1.6828E+12;2023-04-29T23:36:57.331;1.45;150.795;-60.673;7.63;7.63
1.6828E+12;2023-04-29T23:36:57.341;1.46;150.747;-60.679;7.674;7.674
1.6828E+12;2023-04-29T23:36:57.351;1.47;150.703;-60.693;7.723;7.723
1.6828E+12;2023-04-29T23:36:57.361;1.48;150.662;-60.706;7.788;7.788
1.6828E+12;2023-04-29T23:36:57.371;1.49;150.63;-60.719;7.859;7.859
1.6828E+12;2023-04-29T23:36:57.381;1.5;150.604;-60.739;7.921;7.921
1.6828E+12;2023-04-29T23:36:57.391;1.51;150.573;-60.777;7.968;7.968
1.6828E+12;2023-04-29T23:36:57.401;1.52;150.552;-60.816;8.01;8.01
1.6828E+12;2023-04-29T23:36:57.411;1.53;150.539;-60.857;8.043;8.043
1.6828E+12;2023-04-29T23:36:57.421;1.54;150.526;-60.899;8.065;8.065
1.6828E+12;2023-04-29T23:36:57.431;1.55;150.52;-60.944;8.073;8.073
1.6828E+12;2023-04-29T23:36:57.441;1.56;150.515;-60.989;8.07;8.07
1.6828E+12;2023-04-29T23:36:57.451;1.57;150.523;-61.028;8.059;8.059
1.6828E+12;2023-04-29T23:36:57.461;1.58;150.534;-61.066;8.035;8.035
1.6828E+12;2023-04-29T23:36:57.471;1.59;150.553;-61.102;7.994;7.994
1.6828E+12;2023-04-29T23:36:57.481;1.6;150.572;-61.133;7.955;7.955
1.6828E+12;2023-04-29T23:36:57.491;1.61;150.608;-61.159;7.897;7.897
1.6828E+12;2023-04-29T23:36:57.501;1.62;150.648;-61.182;7.83;7.83
1.6828E+12;2023-04-29T23:36:57.511;1.63;150.675;-61.201;7.769;7.769
1.6828E+12;2023-04-29T23:36:57.521;1.64;150.71;-61.215;7.716;7.716
1.6828E+12;2023-04-29T23:36:57.531;1.65;150.732;-61.226;7.673;7.673
1.6828E+12;2023-04-29T23:36:57.541;1.66;150.754;-61.237;7.631;7.631
1.6828E+12;2023-04-29T23:36:57.551;1.67;150.781;-61.253;7.588;7.588
1.6828E+12;2023-04-29T23:36:57.561;1.68;150.804;-61.269;7.549;7.549
1.6828E+12;2023-04-29T23:36:57.571;1.69;150.827;-61.284;7.51;7.51
1.6828E+12;2023-04-29T23:36:57.581;1.7;150.848;-61.3;7.474;7.474
1.6828E+12;2023-04-29T23:36:57.591;1.71;150.867;-61.315;7.447;7.447
1.6828E+12;2023-04-29T23:36:57.601;1.72;150.887;-61.326;7.431;7.431
1.6828E+12;2023-04-29T23:36:57.611;1.73;150.908;-61.337;7.414;7.414
1.6828E+12;2023-04-29T23:36:57.621;1.74;150.921;-61.35;7.399;7.399
1.6828E+12;2023-04-29T23:36:57.631;1.75;150.933;-61.362;7.384;7.384
1.6828E+12;2023-04-29T23:36:57.641;1.76;150.954;-61.365;7.372;7.372
1.6828E+12;2023-04-29T23:36:57.651;1.77;150.972;-61.366;7.356;7.356
1.6828E+12;2023-04-29T23:36:57.661;1.78;150.99;-61.38;7.314;7.314
1.6828E+12;2023-04-29T23:36:57.671;1.79;151.015;-61.393;7.264;7.264
1.6828E+12;2023-04-29T23:36:57.681;1.8;151.052;-61.398;7.213;7.213
1.6828E+12;2023-04-29T23:36:57.691;1.81;151.09;-61.402;7.159;7.159
1.6828E+12;2023-04-29T23:36:57.701;1.82;151.131;-61.407;7.102;7.102
1.6828E+12;2023-04-29T23:36:57.711;1.83;151.161;-61.408;7.05;7.05
1.6828E+12;2023-04-29T23:36:57.721;1.84;151.187;-61.408;6.998;6.998
1.6828E+12;2023-04-29T23:36:57.731;1.85;151.216;-61.407;6.942;6.942
1.6828E+12;2023-04-29T23:36:57.741;1.86;151.235;-61.415;6.887;6.887
1.6828E+12;2023-04-29T23:36:57.751;1.87;151.251;-61.417;6.849;6.849
1.6828E+12;2023-04-29T23:36:57.761;1.88;151.265;-61.413;6.826;6.826
1.6828E+12;2023-04-29T23:36:57.771;1.89;151.271;-61.409;6.815;6.815
1.6828E+12;2023-04-29T23:36:57.781;1.9;151.275;-61.407;6.816;6.816
1.6828E+12;2023-04-29T23:36:57.791;1.91;151.279;-61.405;6.818;6.818
1.6828E+12;2023-04-29T23:36:57.801;1.92;151.285;-61.404;6.833;6.833
1.6828E+12;2023-04-29T23:36:57.811;1.93;151.287;-61.404;6.855;6.855
1.6828E+12;2023-04-29T23:36:57.821;1.94;151.288;-61.406;6.879;6.879
1.6828E+12;2023-04-29T23:36:57.831;1.95;151.288;-61.406;6.909;6.909
1.6828E+12;2023-04-29T23:36:57.841;1.96;151.284;-61.406;6.946;6.946
1.6828E+12;2023-04-29T23:36:57.851;1.97;151.288;-61.404;6.984;6.984
1.6828E+12;2023-04-29T23:36:57.861;1.98;151.298;-61.402;7.015;7.015
1.6828E+12;2023-04-29T23:36:57.871;1.99;151.31;-61.4;7.043;7.043
1.6828E+12;2023-04-29T23:36:57.881;2;151.327;-61.396;7.062;7.062
1.6828E+12;2023-04-29T23:36:57.891;2.01;151.339;-61.389;7.078;7.078
1.6828E+12;2023-04-29T23:36:57.901;2.02;151.352;-61.384;7.088;7.088
1.6828E+12;2023-04-29T23:36:57.911;2.03;151.371;-61.38;7.081;7.081
1.6828E+12;2023-04-29T23:36:57.921;2.04;151.387;-61.378;7.075;7.075
1.6828E+12;2023-04-29T23:36:57.931;2.05;151.386;-61.373;7.077;7.077
1.6828E+12;2023-04-29T23:36:57.941;2.06;151.378;-61.373;7.078;7.078
1.6828E+12;2023-04-29T23:36:57.951;2.07;151.375;-61.373;7.065;7.065
1.6828E+12;2023-04-29T23:36:57.961;2.08;151.381;-61.365;7.054;7.054
1.6828E+12;2023-04-29T23:36:57.971;2.09;151.382;-61.363;7.035;7.035
1.6828E+12;2023-04-29T23:36:57.981;2.1;151.389;-61.353;7.019;7.019
1.6828E+12;2023-04-29T23:36:57.991;2.11;151.399;-61.336;7.009;7.009
1.6828E+12;2023-04-29T23:36:58.001;2.12;151.408;-61.317;7.007;7.007
1.6828E+12;2023-04-29T23:36:58.011;2.13;151.413;-61.296;7.012;7.012
1.6828E+12;2023-04-29T23:36:58.021;2.14;151.411;-61.275;7.031;7.031
1.6828E+12;2023-04-29T23:36:58.031;2.15;151.414;-61.257;7.046;7.046
1.6828E+12;2023-04-29T23:36:58.041;2.16;151.41;-61.242;7.078;7.078
1.6828E+12;2023-04-29T23:36:58.051;2.17;151.399;-61.225;7.126;7.126
1.6828E+12;2023-04-29T23:36:58.061;2.18;151.38;-61.205;7.19;7.19
1.6828E+12;2023-04-29T23:36:58.071;2.19;151.359;-61.181;7.266;7.266
1.6828E+12;2023-04-29T23:36:58.081;2.2;151.344;-61.167;7.329;7.329
1.6828E+12;2023-04-29T23:36:58.091;2.21;151.328;-61.161;7.389;7.389
1.6828E+12;2023-04-29T23:36:58.101;2.22;151.317;-61.153;7.454;7.454
1.6828E+12;2023-04-29T23:36:58.111;2.23;151.308;-61.141;7.52;7.52
1.6828E+12;2023-04-29T23:36:58.121;2.24;151.304;-61.128;7.584;7.584
1.6828E+12;2023-04-29T23:36:58.131;2.25;151.298;-61.117;7.648;7.648
1.6828E+12;2023-04-29T23:36:58.141;2.26;151.287;-61.106;7.712;7.712
1.6828E+12;2023-04-29T23:36:58.151;2.27;151.267;-61.093;7.782;7.782
1.6828E+12;2023-04-29T23:36:58.161;2.28;151.252;-61.08;7.842;7.842
1.6828E+12;2023-04-29T23:36:58.171;2.29;151.247;-61.068;7.887;7.887
1.6828E+12;2023-04-29T23:36:58.181;2.3;151.249;-61.062;7.911;7.911
1.6828E+12;2023-04-29T23:36:58.191;2.31;151.255;-61.057;7.927;7.927
1.6828E+12;2023-04-29T23:36:58.201;2.32;151.267;-61.049;7.938;7.938
1.6828E+12;2023-04-29T23:36:58.211;2.33;151.288;-61.039;7.938;7.938
1.6828E+12;2023-04-29T23:36:58.221;2.34;151.299;-61.028;7.936;7.936
1.6828E+12;2023-04-29T23:36:58.231;2.35;151.31;-61.022;7.925;7.925
1.6828E+12;2023-04-29T23:36:58.241;2.36;151.32;-61.015;7.915;7.915
1.6828E+12;2023-04-29T23:36:58.251;2.37;151.331;-61.005;7.905;7.905
1.6828E+12;2023-04-29T23:36:58.261;2.38;151.342;-60.994;7.893;7.893
1.6828E+12;2023-04-29T23:36:58.271;2.39;151.355;-60.982;7.879;7.879
1.6828E+12;2023-04-29T23:36:58.281;2.4;151.366;-60.969;7.868;7.868
1.6828E+12;2023-04-29T23:36:58.291;2.41;151.374;-60.956;7.858;7.858
1.6828E+12;2023-04-29T23:36:58.301;2.42;151.38;-60.944;7.846;7.846
1.6828E+12;2023-04-29T23:36:58.311;2.43;151.387;-60.933;7.831;7.831
1.6828E+12;2023-04-29T23:36:58.321;2.44;151.391;-60.925;7.815;7.815
1.6828E+12;2023-04-29T23:36:58.331;2.45;151.393;-60.918;7.801;7.801
1.6828E+12;2023-04-29T23:36:58.341;2.46;151.393;-60.91;7.794;7.794
1.6828E+12;2023-04-29T23:36:58.351;2.47;151.394;-60.896;7.797;7.797
1.6828E+12;2023-04-29T23:36:58.361;2.48;151.393;-60.884;7.8;7.8
1.6828E+12;2023-04-29T23:36:58.371;2.49;151.383;-60.877;7.81;7.81
1.6828E+12;2023-04-29T23:36:58.381;2.5;151.378;-60.87;7.818;7.818
1.6828E+12;2023-04-29T23:36:58.391;2.51;151.367;-60.861;7.84;7.84
1.6828E+12;2023-04-29T23:36:58.401;2.52;151.353;-60.853;7.862;7.862
1.6828E+12;2023-04-29T23:36:58.411;2.53;151.336;-60.847;7.886;7.886
1.6828E+12;2023-04-29T23:36:58.421;2.54;151.327;-60.842;7.911;7.911
1.6828E+12;2023-04-29T23:36:58.431;2.55;151.324;-60.833;7.934;7.934
1.6828E+12;2023-04-29T23:36:58.441;2.56;151.323;-60.829;7.947;7.947
1.6828E+12;2023-04-29T23:36:58.451;2.57;151.32;-60.826;7.959;7.959
1.6828E+12;2023-04-29T23:36:58.461;2.58;151.318;-60.821;7.973;7.973
1.6828E+12;2023-04-29T23:36:58.471;2.59;151.315;-60.817;7.987;7.987
1.6828E+12;2023-04-29T23:36:58.481;2.6;151.313;-60.813;8.002;8.002
1.6828E+12;2023-04-29T23:36:58.491;2.61;151.31;-60.809;8.015;8.015
1.6828E+12;2023-04-29T23:36:58.501;2.62;151.306;-60.807;8.029;8.029
1.6828E+12;2023-04-29T23:36:58.511;2.63;151.305;-60.809;8.028;8.028
1.6828E+12;2023-04-29T23:36:58.521;2.64;151.304;-60.811;8.027;8.027
1.6828E+12;2023-04-29T23:36:58.531;2.65;151.303;-60.812;8.026;8.026
1.6828E+12;2023-04-29T23:36:58.541;2.66;151.302;-60.814;8.026;8.026
1.6828E+12;2023-04-29T23:36:58.551;2.67;151.302;-60.815;8.025;8.025
1.6828E+12;2023-04-29T23:36:58.561;2.68;151.301;-60.815;8.025;8.025
1.6828E+12;2023-04-29T23:36:58.571;2.69;151.3;-60.816;8.025;8.025
1.6828E+12;2023-04-29T23:36:58.581;2.7;151.299;-60.817;8.025;8.025
1.6828E+12;2023-04-29T23:36:58.591;2.71;151.297;-60.818;8.025;8.025
1.6828E+12;2023-04-29T23:36:58.601;2.72;151.295;-60.819;8.026;8.026
1.6828E+12;2023-04-29T23:36:58.611;2.73;151.292;-60.821;8.027;8.027
1.6828E+12;2023-04-29T23:36:58.621;2.74;151.287;-60.823;8.028;8.028
1.6828E+12;2023-04-29T23:36:58.631;2.75;151.273;-60.825;8.042;8.042
1.6828E+12;2023-04-29T23:36:58.641;2.76;151.263;-60.822;8.06;8.06
1.6828E+12;2023-04-29T23:36:58.651;2.77;151.255;-60.825;8.062;8.062
1.6828E+12;2023-04-29T23:36:58.661;2.78;151.246;-60.828;8.065;8.065
1.6828E+12;2023-04-29T23:36:58.671;2.79;151.239;-60.836;8.076;8.076
1.6828E+12;2023-04-29T23:36:58.681;2.8;151.238;-60.838;8.089;8.089
1.6828E+12;2023-04-29T23:36:58.691;2.81;151.236;-60.841;8.107;8.107
1.6828E+12;2023-04-29T23:36:58.701;2.82;151.232;-60.844;8.129;8.129
1.6828E+12;2023-04-29T23:36:58.711;2.83;151.228;-60.848;8.154;8.154
1.6828E+12;2023-04-29T23:36:58.721;2.84;151.222;-60.858;8.173;8.173
1.6828E+12;2023-04-29T23:36:58.731;2.85;151.218;-60.869;8.191;8.191
1.6828E+12;2023-04-29T23:36:58.741;2.86;151.216;-60.881;8.206;8.206
1.6828E+12;2023-04-29T23:36:58.751;2.87;151.215;-60.895;8.223;8.223
1.6828E+12;2023-04-29T23:36:58.761;2.88;151.215;-60.907;8.24;8.24
1.6828E+12;2023-04-29T23:36:58.771;2.89;151.215;-60.918;8.259;8.259
1.6828E+12;2023-04-29T23:36:58.781;2.9;151.213;-60.93;8.281;8.281
1.6828E+12;2023-04-29T23:36:58.791;2.91;151.214;-60.942;8.304;8.304
1.6828E+12;2023-04-29T23:36:58.801;2.92;151.216;-60.955;8.326;8.326
1.6828E+12;2023-04-29T23:36:58.811;2.93;151.217;-60.967;8.346;8.346
1.6828E+12;2023-04-29T23:36:58.821;2.94;151.222;-60.98;8.361;8.361
1.6828E+12;2023-04-29T23:36:58.831;2.95;151.227;-60.993;8.374;8.374
1.6828E+12;2023-04-29T23:36:58.841;2.96;151.233;-61.005;8.385;8.385
1.6828E+12;2023-04-29T23:36:58.851;2.97;151.239;-61.017;8.393;8.393
1.6828E+12;2023-04-29T23:36:58.861;2.98;151.251;-61.027;8.391;8.391
1.6828E+12;2023-04-29T23:36:58.871;2.99;151.262;-61.038;8.389;8.389
1.6828E+12;2023-04-29T23:36:58.881;3;151.275;-61.048;8.386;8.386
1.6828E+12;2023-04-29T23:36:58.891;3.01;151.302;-61.05;8.374;8.374
1.6828E+12;2023-04-29T23:36:58.901;3.02;151.328;-61.052;8.37;8.37
1.6828E+12;2023-04-29T23:36:58.911;3.03;151.354;-61.046;8.383;8.383
1.6828E+12;2023-04-29T23:36:58.921;3.04;151.38;-61.034;8.407;8.407
1.6828E+12;2023-04-29T23:36:58.931;3.05;151.401;-61.021;8.438;8.438
1.6828E+12;2023-04-29T23:36:58.941;3.06;151.423;-61.004;8.476;8.476
1.6828E+12;2023-04-29T23:36:58.951;3.07;151.439;-60.985;8.519;8.519
1.6828E+12;2023-04-29T23:36:58.961;3.08;151.454;-60.963;8.569;8.569
1.6828E+12;2023-04-29T23:36:58.971;3.09;151.471;-60.938;8.619;8.619
1.6828E+12;2023-04-29T23:36:58.981;3.1;151.488;-60.914;8.661;8.661
1.6828E+12;2023-04-29T23:36:58.991;3.11;151.504;-60.89;8.694;8.694
1.6828E+12;2023-04-29T23:36:59.001;3.12;151.531;-60.872;8.698;8.698
1.6828E+12;2023-04-29T23:36:59.011;3.13;151.558;-60.863;8.685;8.685
1.6828E+12;2023-04-29T23:36:59.021;3.14;151.591;-60.855;8.662;8.662
1.6828E+12;2023-04-29T23:36:59.031;3.15;151.62;-60.846;8.635;8.635
1.6828E+12;2023-04-29T23:36:59.041;3.16;151.646;-60.837;8.604;8.604
