epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1681468808487,2023-04-14T12:40:08.487,0.000,0.130,2.416,1.021
1681468808497,2023-04-14T12:40:08.497,0.010,0.137,1.280,-0.831
1681468808507,2023-04-14T12:40:08.507,0.020,0.564,2.050,0.655
1681468808517,2023-04-14T12:40:08.517,0.030,0.793,1.692,0.427
1681468808527,2023-04-14T12:40:08.527,0.040,1.395,1.242,0.313
1681468808537,2023-04-14T12:40:08.537,0.050,2.218,1.006,0.366
1681468808547,2023-04-14T12:40:08.547,0.060,3.034,1.128,0.396
1681468808557,2023-04-14T12:40:08.557,0.070,3.255,1.471,0.305
1681468808567,2023-04-14T12:40:08.567,0.080,2.790,2.058,-0.030
1681468808577,2023-04-14T12:40:08.577,0.090,2.927,1.806,0.168
1681468808587,2023-04-14T12:40:08.587,0.100,3.117,1.471,0.206
1681468808597,2023-04-14T12:40:08.597,0.110,2.439,1.639,-0.076
1681468808607,2023-04-14T12:40:08.607,0.120,2.043,1.738,-0.168
1681468808617,2023-04-14T12:40:08.617,0.130,2.104,1.761,-0.175
1681468808627,2023-04-14T12:40:08.627,0.140,1.700,1.822,-0.282
1681468808637,2023-04-14T12:40:08.637,0.150,0.976,2.172,-0.343
1681468808647,2023-04-14T12:40:08.647,0.160,0.587,2.599,-0.503
1681468808657,2023-04-14T12:40:08.657,0.170,0.442,3.018,-0.610
1681468808667,2023-04-14T12:40:08.667,0.180,0.168,3.194,-0.625
1681468808677,2023-04-14T12:40:08.677,0.190,-0.252,3.415,-0.434
1681468808687,2023-04-14T12:40:08.687,0.200,-0.290,3.720,-0.305
1681468808697,2023-04-14T12:40:08.697,0.210,-0.076,3.849,-0.328
1681468808707,2023-04-14T12:40:08.707,0.220,0.396,3.971,-0.503
1681468808717,2023-04-14T12:40:08.717,0.230,0.785,4.169,-0.564
1681468808727,2023-04-14T12:40:08.727,0.240,1.014,4.489,-0.648
1681468808737,2023-04-14T12:40:08.737,0.250,1.044,4.642,-0.648
1681468808747,2023-04-14T12:40:08.747,0.260,1.204,4.611,-0.617
1681468808757,2023-04-14T12:40:08.757,0.270,1.357,4.649,-0.648
1681468808767,2023-04-14T12:40:08.767,0.280,1.387,4.604,-0.564
1681468808777,2023-04-14T12:40:08.777,0.290,1.395,4.825,-0.541
1681468808787,2023-04-14T12:40:08.787,0.300,1.745,5.213,-0.602
1681468808797,2023-04-14T12:40:08.797,0.310,2.035,5.122,-0.617
1681468808807,2023-04-14T12:40:08.807,0.320,2.111,4.809,-0.587
1681468808817,2023-04-14T12:40:08.817,0.330,1.997,4.527,-0.648
1681468808827,2023-04-14T12:40:08.827,0.340,2.157,4.276,-0.808
1681468808837,2023-04-14T12:40:08.837,0.350,2.332,3.697,-1.090
1681468808847,2023-04-14T12:40:08.847,0.360,2.203,3.072,-1.174
1681468808857,2023-04-14T12:40:08.857,0.370,1.845,2.813,-1.181
1681468808867,2023-04-14T12:40:08.867,0.380,1.730,2.660,-1.082
1681468808877,2023-04-14T12:40:08.877,0.390,1.829,2.492,-1.059
1681468808887,2023-04-14T12:40:08.887,0.400,1.982,2.393,-1.220
1681468808897,2023-04-14T12:40:08.897,0.410,2.096,2.157,-1.456
1681468808907,2023-04-14T12:40:08.907,0.420,2.073,1.829,-1.646
1681468808917,2023-04-14T12:40:08.917,0.430,1.997,1.639,-1.814
1681468808927,2023-04-14T12:40:08.927,0.440,2.081,1.372,-1.982
1681468808937,2023-04-14T12:40:08.937,0.450,2.066,1.090,-2.035
1681468808947,2023-04-14T12:40:08.947,0.460,2.378,0.945,-1.936
1681468808957,2023-04-14T12:40:08.957,0.470,2.851,0.617,-1.936
1681468808967,2023-04-14T12:40:08.967,0.480,3.239,0.236,-2.149
1681468808977,2023-04-14T12:40:08.977,0.490,3.918,-0.335,-2.538
1681468808987,2023-04-14T12:40:08.987,0.500,4.078,-0.808,-2.828
1681468808997,2023-04-14T12:40:08.997,0.510,3.498,-1.151,-2.866
1681468809007,2023-04-14T12:40:09.007,0.520,2.462,-1.738,-3.133
1681468809017,2023-04-14T12:40:09.017,0.530,1.585,-3.011,-3.575
1681468809027,2023-04-14T12:40:09.027,0.540,0.991,-4.733,-3.941
1681468809037,2023-04-14T12:40:09.037,0.550,0.541,-6.319,-4.268
1681468809047,2023-04-14T12:40:09.047,0.560,0.274,-7.729,-4.550
1681468809057,2023-04-14T12:40:09.057,0.570,0.191,-9.040,-5.091
1681468809067,2023-04-14T12:40:09.067,0.580,0.061,-10.663,-5.511
1681468809077,2023-04-14T12:40:09.077,0.590,0.061,-12.096,-5.877
1681468809087,2023-04-14T12:40:09.087,0.600,0.884,-12.668,-6.357
1681468809097,2023-04-14T12:40:09.097,0.610,3.064,-11.944,-6.738
1681468809107,2023-04-14T12:40:09.107,0.620,5.648,-10.137,-6.966
1681468809117,2023-04-14T12:40:09.117,0.630,8.529,-7.790,-7.409
1681468809127,2023-04-14T12:40:09.127,0.640,11.570,-4.405,-7.752
1681468809137,2023-04-14T12:40:09.137,0.650,13.872,-3.003,-7.828
1681468809147,2023-04-14T12:40:09.147,0.660,16.372,-1.646,-7.713
1681468809157,2023-04-14T12:40:09.157,0.670,19.322,-1.502,-7.858
1681468809167,2023-04-14T12:40:09.167,0.680,23.323,-1.448,-8.110
1681468809177,2023-04-14T12:40:09.177,0.690,29.245,-1.105,-8.445
1681468809187,2023-04-14T12:40:09.187,0.700,38.155,-1.959,-9.733
1681468809197,2023-04-14T12:40:09.197,0.710,46.372,-1.288,-11.288
1681468809207,2023-04-14T12:40:09.207,0.720,48.986,-0.701,-12.050
1681468809217,2023-04-14T12:40:09.217,0.730,46.608,-4.131,-12.066
1681468809227,2023-04-14T12:40:09.227,0.740,42.973,-9.398,-11.822
1681468809237,2023-04-14T12:40:09.237,0.750,40.785,-14.939,-11.425
1681468809247,2023-04-14T12:40:09.247,0.760,39.299,-19.466,-12.027
1681468809257,2023-04-14T12:40:09.257,0.770,37.088,-23.613,-13.346
1681468809267,2023-04-14T12:40:09.267,0.780,35.008,-27.416,-14.398
1681468809277,2023-04-14T12:40:09.277,0.790,30.793,-30.320,-14.604
1681468809287,2023-04-14T12:40:09.287,0.800,23.628,-30.945,-13.544
1681468809297,2023-04-14T12:40:09.297,0.810,15.038,-28.735,-12.248
1681468809307,2023-04-14T12:40:09.307,0.820,8.720,-25.572,-10.655
1681468809317,2023-04-14T12:40:09.317,0.830,5.777,-24.527,-8.971
1681468809327,2023-04-14T12:40:09.327,0.840,5.907,-25.800,-7.226
1681468809337,2023-04-14T12:40:09.337,0.850,7.401,-31.395,-5.655
1681468809347,2023-04-14T12:40:09.347,0.860,8.758,-40.998,-4.771
1681468809357,2023-04-14T12:40:09.357,0.870,9.070,-47.119,-3.727
1681468809367,2023-04-14T12:40:09.367,0.880,8.453,-49.870,-1.563
1681468809377,2023-04-14T12:40:09.377,0.890,6.212,-52.675,0.884
1681468809387,2023-04-14T12:40:09.387,0.900,1.883,-55.373,1.875
1681468809397,2023-04-14T12:40:09.397,0.910,-1.639,-56.143,2.050
1681468809407,2023-04-14T12:40:09.407,0.920,-2.851,-56.448,2.012
1681468809417,2023-04-14T12:40:09.417,0.930,-1.898,-56.875,2.119
1681468809427,2023-04-14T12:40:09.427,0.940,-1.029,-57.904,2.332
1681468809437,2023-04-14T12:40:09.437,0.950,-0.861,-59.322,2.607
1681468809447,2023-04-14T12:40:09.447,0.960,-1.075,-61.555,3.117
1681468809457,2023-04-14T12:40:09.457,0.970,-3.026,-64.832,3.095
1681468809467,2023-04-14T12:40:09.467,0.980,-6.303,-69.352,3.178
1681468809477,2023-04-14T12:40:09.477,0.990,-9.428,-73.910,3.476
1681468809487,2023-04-14T12:40:09.487,1.000,-12.134,-75.991,3.819
1681468809497,2023-04-14T12:40:09.497,1.010,-13.910,-75.701,3.994
1681468809507,2023-04-14T12:40:09.507,1.020,-14.817,-74.413,3.956
1681468809517,2023-04-14T12:40:09.517,1.030,-15.450,-72.873,3.720
1681468809527,2023-04-14T12:40:09.527,1.040,-16.745,-71.273,3.117
1681468809537,2023-04-14T12:40:09.537,1.050,-18.758,-69.375,2.127
1681468809547,2023-04-14T12:40:09.547,1.060,-21.639,-66.761,0.564
1681468809557,2023-04-14T12:40:09.557,1.070,-25.252,-65.282,-0.030
1681468809567,2023-04-14T12:40:09.567,1.080,-30.678,-63.727,-1.448
1681468809577,2023-04-14T12:40:09.577,1.090,-36.532,-62.492,-3.277
1681468809587,2023-04-14T12:40:09.587,1.100,-41.639,-60.152,-5.252
1681468809597,2023-04-14T12:40:09.597,1.110,-45.434,-57.233,-7.119
1681468809607,2023-04-14T12:40:09.607,1.120,-47.965,-54.162,-8.567
1681468809617,2023-04-14T12:40:09.617,1.130,-48.674,-50.991,-10.122
1681468809627,2023-04-14T12:40:09.627,1.140,-48.742,-48.544,-11.288
1681468809637,2023-04-14T12:40:09.637,1.150,-49.215,-47.553,-12.470
1681468809647,2023-04-14T12:40:09.647,1.160,-49.840,-45.610,-12.927
1681468809657,2023-04-14T12:40:09.657,1.170,-52.896,-35.313,-13.384
1681468809667,2023-04-14T12:40:09.667,1.180,-44.383,-37.500,-10.930
1681468809677,2023-04-14T12:40:09.677,1.190,-39.192,-34.383,-8.750
1681468809687,2023-04-14T12:40:09.687,1.200,-33.941,-32.698,-8.933
1681468809697,2023-04-14T12:40:09.697,1.210,-29.367,-31.463,-6.951
1681468809707,2023-04-14T12:40:09.707,1.220,-26.105,-29.840,-3.948
1681468809717,2023-04-14T12:40:09.717,1.230,-25.816,-25.213,-1.280
1681468809727,2023-04-14T12:40:09.727,1.240,-27.309,-18.506,1.151
1681468809737,2023-04-14T12:40:09.737,1.250,-28.765,-12.409,2.630
1681468809747,2023-04-14T12:40:09.747,1.260,-27.683,-7.866,4.466
1681468809757,2023-04-14T12:40:09.757,1.270,-23.498,-3.041,6.905
1681468809767,2023-04-14T12:40:09.767,1.280,-15.488,2.226,9.878
